ID;Target
80001;1
80002;1
80003;1
80004;1
80005;1
80006;1
80007;1
80008;1
80009;1
80010;1
80011;0
80012;1
80013;1
80014;1
80015;0
80016;1
80017;1
80018;1
80019;0
80020;1
80021;1
80022;1
80023;0
80024;0
80025;1
80026;1
80027;1
80028;1
80029;1
80030;0
80031;0
80032;1
80033;1
80034;1
80035;1
80036;1
80037;1
80038;1
80039;1
80040;1
80041;0
80042;1
80043;1
80044;1
80045;0
80046;1
80047;1
80048;1
80049;1
80050;1
80051;1
80052;1
80053;1
80054;1
80055;1
80056;1
80057;1
80058;1
80059;0
80060;1
80061;1
80062;1
80063;1
80064;1
80065;1
80066;0
80067;1
80068;1
80069;1
80070;1
80071;1
80072;1
80073;1
80074;1
80075;1
80076;1
80077;1
80078;1
80079;1
80080;1
80081;1
80082;1
80083;1
80084;1
80085;1
80086;1
80087;1
80088;1
80089;1
80090;1
80091;1
80092;1
80093;1
80094;1
80095;1
80096;1
80097;0
80098;1
80099;1
80100;1
80101;1
80102;0
80103;0
80104;1
80105;1
80106;1
80107;1
80108;0
80109;1
80110;1
80111;1
80112;1
80113;1
80114;1
80115;1
80116;1
80117;0
80118;1
80119;1
80120;1
80121;1
80122;1
80123;0
80124;1
80125;1
80126;1
80127;1
80128;1
80129;1
80130;1
80131;1
80132;1
80133;1
80134;1
80135;1
80136;1
80137;0
80138;0
80139;1
80140;1
80141;1
80142;1
80143;1
80144;1
80145;1
80146;1
80147;1
80148;1
80149;1
80150;1
80151;1
80152;1
80153;1
80154;0
80155;0
80156;1
80157;0
80158;1
80159;0
80160;1
80161;1
80162;1
80163;1
80164;1
80165;1
80166;1
80167;1
80168;1
80169;1
80170;0
80171;1
80172;0
80173;0
80174;1
80175;1
80176;1
80177;1
80178;1
80179;1
80180;1
80181;0
80182;1
80183;1
80184;1
80185;1
80186;1
80187;1
80188;1
80189;1
80190;1
80191;0
80192;1
80193;1
80194;0
80195;0
80196;1
80197;0
80198;1
80199;1
80200;1
80201;0
80202;1
80203;1
80204;0
80205;1
80206;0
80207;1
80208;0
80209;1
80210;1
80211;1
80212;1
80213;1
80214;1
80215;1
80216;1
80217;1
80218;1
80219;1
80220;1
80221;1
80222;1
80223;1
80224;1
80225;1
80226;1
80227;1
80228;1
80229;1
80230;1
80231;0
80232;1
80233;1
80234;1
80235;1
80236;1
80237;1
80238;1
80239;1
80240;1
80241;1
80242;1
80243;1
80244;1
80245;0
80246;1
80247;0
80248;1
80249;0
80250;1
80251;0
80252;1
80253;1
80254;1
80255;1
80256;1
80257;1
80258;1
80259;1
80260;0
80261;0
80262;1
80263;1
80264;0
80265;0
80266;0
80267;1
80268;1
80269;0
80270;1
