ID;Target
80001;1
80002;1
80003;1
80004;1
80005;0
80006;1
80007;0
80008;1
80009;1
80010;1
80011;0
80012;1
80013;1
80014;0
80015;0
80016;0
80017;0
80018;0
80019;1
80020;0
80021;0
80022;1
80023;1
80024;0
80025;0
80026;0
80027;1
80028;1
80029;0
80030;0
80031;0
80032;0
80033;1
80034;1
80035;0
80036;0
80037;0
80038;0
80039;0
80040;0
80041;1
80042;1
80043;1
80044;0
80045;1
80046;1
80047;0
80048;1
80049;0
80050;0
80051;1
80052;1
80053;0
80054;1
80055;0
80056;1
80057;0
80058;1
80059;1
80060;1
80061;1
80062;1
80063;0
80064;0
80065;1
80066;0
80067;1
80068;0
80069;1
80070;1
80071;0
80072;0
80073;1
80074;1
80075;1
80076;1
80077;0
80078;1
80079;1
80080;1
80081;1
80082;1
80083;1
80084;1
80085;0
80086;0
80087;0
80088;0
80089;1
80090;1
80091;0
80092;0
80093;1
80094;0
80095;0
80096;0
80097;0
80098;0
80099;1
80100;0
80101;0
80102;0
80103;1
80104;1
80105;1
80106;1
80107;0
80108;0
80109;0
80110;1
80111;1
80112;1
80113;1
80114;0
80115;1
80116;0
80117;1
80118;1
80119;1
80120;0
80121;0
80122;1
80123;0
80124;1
80125;1
80126;1
80127;1
80128;0
80129;0
80130;0
80131;0
80132;0
80133;1
80134;1
80135;0
80136;0
80137;1
80138;1
80139;0
80140;0
80141;1
80142;0
80143;0
80144;1
80145;1
80146;0
80147;1
80148;0
80149;1
80150;1
80151;0
80152;0
80153;1
80154;0
80155;0
80156;1
80157;0
80158;0
80159;1
80160;0
80161;1
80162;1
80163;0
80164;1
80165;0
80166;1
80167;0
80168;0
80169;0
80170;1
80171;0
80172;0
80173;1
80174;1
80175;1
80176;1
80177;0
80178;0
80179;0
80180;0
80181;1
80182;1
80183;1
80184;0
80185;0
80186;0
80187;1
80188;1
80189;0
80190;1
80191;0
80192;0
80193;0
80194;1
80195;1
80196;0
80197;1
80198;1
80199;0
80200;0
80201;0
80202;1
80203;1
80204;0
80205;1
80206;1
80207;1
80208;1
80209;1
80210;0
80211;1
80212;1
80213;0
80214;1
80215;0
80216;0
80217;1
80218;0
80219;1
80220;1
80221;0
80222;0
80223;1
80224;1
80225;1
80226;0
80227;1
80228;0
80229;1
80230;1
80231;0
80232;1
80233;0
80234;1
80235;1
80236;1
80237;1
80238;0
80239;0
80240;0
80241;1
80242;1
80243;0
80244;1
80245;1
80246;0
80247;0
80248;0
80249;0
80250;0
80251;0
80252;1
80253;0
80254;1
80255;0
80256;1
80257;0
80258;1
80259;1
80260;0
80261;0
80262;0
80263;0
80264;0
80265;1
80266;0
80267;0
80268;0
80269;0
80270;1
