ID;Target
80001;1
80002;1
80003;1
80004;1
80005;0
80006;1
80007;1
80008;1
80009;1
80010;1
80011;1
80012;1
80013;0
80014;1
80015;0
80016;0
80017;0
80018;1
80019;1
80020;0
80021;0
80022;1
80023;1
80024;1
80025;1
80026;1
80027;1
80028;0
80029;0
80030;0
80031;0
80032;0
80033;0
80034;0
80035;0
80036;0
80037;1
80038;0
80039;0
80040;1
80041;0
80042;0
80043;1
80044;1
80045;1
80046;0
80047;1
80048;1
80049;1
80050;1
80051;1
80052;1
80053;1
80054;1
80055;1
80056;1
80057;0
80058;0
80059;0
80060;1
80061;1
80062;0
80063;0
80064;1
80065;0
80066;1
80067;1
80068;1
80069;0
80070;0
80071;0
80072;0
80073;1
80074;1
80075;0
80076;0
80077;0
80078;0
80079;0
80080;1
80081;0
80082;1
80083;1
80084;1
80085;0
80086;0
80087;0
80088;1
80089;1
80090;0
80091;1
80092;1
80093;1
80094;1
80095;1
80096;0
80097;1
80098;0
80099;0
80100;1
80101;0
80102;0
80103;0
80104;1
80105;0
80106;1
80107;0
80108;1
80109;1
80110;1
80111;1
80112;1
80113;1
80114;0
80115;1
80116;0
80117;1
80118;0
80119;0
80120;0
80121;1
80122;1
80123;0
80124;1
80125;1
80126;0
80127;0
80128;0
80129;0
80130;0
80131;0
80132;0
80133;0
80134;0
80135;1
80136;0
80137;0
80138;0
80139;0
80140;1
80141;0
80142;0
80143;0
80144;0
80145;0
80146;0
80147;0
80148;0
80149;0
80150;0
80151;0
80152;0
80153;1
80154;0
80155;0
80156;0
80157;0
80158;1
80159;1
80160;0
80161;0
80162;1
80163;0
80164;0
80165;0
80166;1
80167;1
80168;1
80169;1
80170;1
80171;1
80172;1
80173;0
80174;1
80175;0
80176;1
80177;1
80178;1
80179;1
80180;1
80181;0
80182;1
80183;0
80184;1
80185;1
80186;1
80187;1
80188;0
80189;0
80190;1
80191;0
80192;0
80193;1
80194;0
80195;1
80196;1
80197;0
80198;1
80199;0
80200;0
80201;1
80202;0
80203;0
80204;0
80205;0
80206;1
80207;0
80208;0
80209;1
80210;1
80211;0
80212;0
80213;0
80214;0
80215;1
80216;0
80217;1
80218;1
80219;1
80220;0
80221;1
80222;1
80223;0
80224;0
80225;0
80226;1
80227;1
80228;1
80229;1
80230;1
80231;0
80232;1
80233;0
80234;1
80235;1
80236;0
80237;0
80238;0
80239;0
80240;0
80241;1
80242;0
80243;1
80244;1
80245;0
80246;1
80247;1
80248;1
80249;1
80250;1
80251;1
80252;1
80253;1
80254;1
80255;1
80256;1
80257;0
80258;1
80259;0
80260;0
80261;1
80262;1
80263;1
80264;1
80265;1
80266;0
80267;1
80268;1
80269;1
80270;0
