ID;Target
80001;0
80002;1
80003;0
80004;1
80005;0
80006;1
80007;1
80008;1
80009;1
80010;1
80011;0
80012;0
80013;0
80014;1
80015;0
80016;0
80017;1
80018;1
80019;1
80020;1
80021;0
80022;1
80023;0
80024;0
80025;1
80026;1
80027;0
80028;1
80029;0
80030;1
80031;1
80032;1
80033;0
80034;1
80035;0
80036;1
80037;0
80038;0
80039;0
80040;1
80041;0
80042;0
80043;1
80044;0
80045;0
80046;1
80047;0
80048;0
80049;0
80050;0
80051;1
80052;0
80053;0
80054;1
80055;1
80056;0
80057;0
80058;0
80059;0
80060;1
80061;0
80062;0
80063;1
80064;1
80065;0
80066;1
80067;1
80068;0
80069;1
80070;0
80071;0
80072;1
80073;1
80074;0
80075;1
80076;1
80077;1
80078;0
80079;1
80080;0
80081;1
80082;0
80083;0
80084;0
80085;0
80086;1
80087;1
80088;0
80089;1
80090;1
80091;0
80092;1
80093;1
80094;0
80095;1
80096;0
80097;0
80098;0
80099;0
80100;1
80101;0
80102;0
80103;0
80104;0
80105;0
80106;1
80107;0
80108;1
80109;0
80110;1
80111;0
80112;1
80113;1
80114;1
80115;1
80116;0
80117;0
80118;1
80119;1
80120;1
80121;1
80122;0
80123;1
80124;1
80125;1
80126;1
80127;1
80128;1
80129;1
80130;1
80131;1
80132;1
80133;1
80134;0
80135;1
80136;0
80137;0
80138;0
80139;0
80140;0
80141;1
80142;1
80143;1
80144;1
80145;1
80146;1
80147;1
80148;1
80149;1
80150;1
80151;1
80152;1
80153;1
80154;0
80155;0
80156;0
80157;0
80158;0
80159;0
80160;0
80161;0
80162;0
80163;0
80164;0
80165;0
80166;0
80167;1
80168;1
80169;0
80170;1
80171;0
80172;0
80173;0
80174;0
80175;0
80176;0
80177;1
80178;1
80179;0
80180;1
80181;0
80182;1
80183;1
80184;1
80185;1
80186;0
80187;0
80188;1
80189;1
80190;0
80191;0
80192;0
80193;0
80194;0
80195;1
80196;0
80197;0
80198;0
80199;0
80200;1
80201;1
80202;1
80203;1
80204;0
80205;0
80206;1
80207;1
80208;0
80209;1
80210;1
80211;1
80212;1
80213;1
80214;1
80215;0
80216;1
80217;1
80218;0
80219;1
80220;0
80221;1
80222;1
80223;0
80224;0
80225;1
80226;1
80227;1
80228;1
80229;1
80230;0
80231;0
80232;0
80233;0
80234;1
80235;1
80236;0
80237;1
80238;1
80239;1
80240;1
80241;0
80242;1
80243;0
80244;1
80245;0
80246;0
80247;1
80248;0
80249;0
80250;0
80251;0
80252;1
80253;1
80254;1
80255;1
80256;0
80257;0
80258;0
80259;1
80260;0
80261;0
80262;0
80263;1
80264;1
80265;0
80266;1
80267;0
80268;0
80269;0
80270;0
80271;1
80272;1
80273;0
80274;0
80275;1
80276;0
80277;1
80278;0
80279;0
80280;1
80281;0
80282;0
80283;0
80284;1
80285;1
80286;0
80287;0
80288;1
80289;1
80290;1
80291;1
80292;1
80293;0
80294;0
80295;1
80296;0
80297;1
80298;0
80299;1
80300;1
80301;0
80302;0
80303;1
80304;1
80305;0
80306;0
80307;0
80308;1
80309;1
80310;0
80311;0
80312;0
80313;0
80314;1
80315;0
80316;1
80317;0
80318;0
80319;0
80320;1
80321;1
80322;1
80323;0
80324;0
80325;0
80326;0
80327;0
80328;1
80329;0
80330;1
80331;0
80332;0
80333;0
80334;1
80335;0
80336;0
80337;0
80338;0
80339;0
80340;0
80341;1
80342;0
80343;0
80344;0
80345;0
80346;0
80347;1
80348;1
80349;0
80350;0
80351;1
80352;1
80353;1
80354;1
80355;0
80356;0
80357;0
80358;0
80359;0
80360;0
80361;1
80362;0
80363;1
80364;0
80365;0
80366;0
80367;0
80368;0
80369;0
80370;0
80371;1
80372;0
80373;1
80374;1
80375;0
80376;1
80377;0
80378;1
80379;0
80380;0
80381;1
80382;0
80383;0
80384;1
80385;1
80386;0
80387;0
80388;1
80389;1
80390;1
80391;1
80392;0
80393;0
80394;0
80395;1
80396;0
80397;1
80398;1
80399;0
80400;0
80401;0
80402;0
80403;1
80404;0
80405;1
80406;1
80407;0
80408;1
80409;1
80410;1
80411;0
80412;0
80413;0
80414;0
80415;0
80416;1
80417;0
80418;1
80419;0
80420;0
80421;0
80422;1
80423;1
80424;0
80425;0
80426;0
80427;0
80428;0
80429;1
80430;1
80431;1
80432;1
80433;0
80434;1
80435;0
80436;1
80437;0
80438;0
80439;0
80440;1
80441;1
80442;0
80443;0
80444;0
80445;0
80446;1
80447;0
80448;0
80449;1
80450;1
80451;0
80452;0
80453;0
80454;0
80455;1
80456;0
80457;1
80458;0
80459;1
80460;0
80461;1
80462;0
80463;0
80464;0
80465;1
80466;0
80467;1
80468;1
80469;1
80470;1
80471;1
80472;1
80473;1
80474;1
80475;1
80476;1
80477;1
80478;1
80479;1
80480;1
80481;1
80482;1
80483;1
80484;1
80485;1
80486;0
80487;0
80488;1
80489;1
80490;1
80491;1
80492;1
80493;1
80494;1
80495;1
80496;1
80497;1
80498;1
80499;1
80500;1
80501;1
80502;1
80503;1
80504;1
80505;0
80506;0
80507;0
80508;0
80509;0
80510;1
80511;1
80512;1
80513;1
80514;1
80515;1
80516;0
80517;0
80518;0
80519;1
80520;0
80521;1
80522;1
80523;0
80524;1
80525;0
80526;1
80527;1
80528;0
80529;1
80530;0
80531;1
80532;0
80533;1
80534;0
80535;0
80536;0
80537;0
80538;1
80539;0
80540;0
80541;1
80542;1
80543;0
80544;1
80545;1
80546;0
80547;1
80548;1
80549;0
80550;0
80551;0
80552;1
80553;1
80554;1
80555;0
80556;1
80557;1
80558;0
80559;0
80560;0
80561;1
80562;0
80563;0
80564;1
80565;1
80566;1
80567;0
80568;0
80569;0
80570;0
80571;1
80572;1
80573;1
80574;1
80575;0
80576;0
80577;0
80578;0
80579;1
80580;1
80581;1
80582;0
80583;1
80584;1
80585;1
80586;1
80587;1
80588;0
80589;0
80590;1
80591;1
80592;1
80593;1
80594;1
80595;0
80596;0
80597;0
80598;0
80599;1
80600;0
80601;1
