ID;Target
80001;1
80002;0
80003;1
80004;0
80005;1
80006;1
80007;0
80008;0
80009;1
80010;1
80011;0
80012;1
80013;0
80014;0
80015;0
80016;1
80017;0
80018;1
80019;1
80020;0
80021;0
80022;0
80023;1
80024;0
80025;1
80026;1
80027;1
80028;0
80029;0
80030;1
80031;1
80032;1
80033;0
80034;1
80035;0
80036;0
80037;1
80038;1
80039;1
80040;1
80041;1
80042;0
80043;1
80044;0
80045;1
80046;1
80047;0
80048;0
80049;1
80050;1
80051;1
80052;0
80053;1
80054;0
80055;0
80056;0
80057;0
80058;0
80059;1
80060;1
80061;1
80062;1
80063;1
80064;1
80065;0
80066;1
80067;0
80068;1
80069;1
80070;1
80071;1
80072;0
80073;1
80074;1
80075;0
80076;0
80077;1
80078;0
80079;1
80080;1
80081;1
80082;0
80083;0
80084;1
80085;1
80086;0
80087;1
80088;0
80089;0
80090;1
80091;0
80092;1
80093;1
80094;0
80095;0
80096;1
80097;1
80098;0
80099;0
80100;0
80101;0
80102;0
80103;0
80104;0
80105;1
80106;0
80107;1
80108;1
80109;0
80110;0
80111;0
80112;0
80113;0
80114;1
80115;1
80116;1
80117;1
80118;0
80119;0
80120;0
80121;0
80122;1
80123;0
80124;1
80125;1
80126;1
80127;1
80128;0
80129;0
80130;1
80131;1
80132;1
80133;1
80134;0
80135;0
80136;0
80137;1
80138;1
80139;1
80140;0
80141;1
80142;1
80143;1
80144;0
80145;1
80146;1
80147;1
80148;1
80149;0
80150;1
80151;1
80152;1
80153;0
80154;1
80155;1
80156;1
80157;1
80158;1
80159;1
80160;0
80161;0
80162;0
80163;1
80164;0
80165;0
80166;0
80167;1
80168;1
80169;0
80170;1
80171;1
80172;0
80173;0
80174;0
80175;0
80176;0
80177;1
80178;1
80179;0
80180;0
80181;1
80182;1
80183;1
80184;1
80185;0
80186;1
80187;0
80188;1
80189;0
80190;0
80191;0
80192;1
80193;1
80194;0
80195;0
80196;0
80197;1
80198;0
80199;0
80200;0
80201;0
80202;1
80203;1
80204;0
80205;1
80206;0
80207;0
80208;1
80209;1
80210;0
80211;1
80212;1
80213;0
80214;1
80215;1
80216;0
