ID;Target
80001;1
80002;0
80003;0
80004;0
80005;1
80006;1
80007;1
80008;1
80009;0
80010;1
80011;1
80012;0
80013;1
80014;1
80015;0
80016;0
80017;1
80018;1
80019;0
80020;0
80021;1
80022;0
80023;0
80024;1
80025;1
80026;0
80027;1
80028;1
80029;0
80030;0
80031;0
80032;1
80033;0
80034;0
80035;1
80036;0
80037;1
80038;0
80039;1
80040;1
80041;1
80042;0
80043;1
80044;0
80045;1
80046;1
80047;0
80048;0
80049;0
80050;0
80051;0
80052;0
80053;0
80054;1
80055;0
80056;0
80057;1
80058;1
80059;0
80060;0
80061;0
80062;0
80063;0
80064;0
80065;0
80066;1
80067;1
80068;1
80069;1
80070;0
80071;0
80072;0
80073;1
80074;0
80075;1
80076;0
80077;0
80078;0
80079;1
80080;0
80081;0
80082;0
80083;1
80084;1
80085;0
80086;1
80087;1
80088;1
80089;1
80090;0
80091;0
80092;1
80093;0
80094;1
80095;1
80096;1
80097;0
80098;1
80099;0
80100;1
80101;1
80102;1
80103;1
80104;0
80105;1
80106;0
80107;0
80108;0
80109;1
80110;1
80111;0
80112;1
80113;1
80114;0
80115;1
80116;1
80117;1
80118;0
80119;1
80120;1
80121;0
80122;0
80123;1
80124;0
80125;1
80126;1
80127;1
80128;0
80129;1
80130;1
80131;1
80132;1
80133;1
80134;0
80135;0
80136;0
80137;0
80138;1
80139;1
80140;0
80141;0
80142;1
80143;0
80144;0
80145;1
80146;0
80147;0
80148;0
80149;0
80150;0
80151;1
80152;1
80153;1
80154;0
80155;1
80156;0
80157;0
80158;0
80159;0
80160;0
80161;1
80162;1
80163;1
80164;0
80165;0
80166;0
80167;0
80168;1
80169;0
80170;1
80171;1
80172;0
80173;1
80174;1
80175;0
80176;0
80177;0
80178;1
80179;0
80180;1
80181;0
80182;1
80183;0
80184;1
80185;0
80186;1
80187;1
80188;1
80189;0
80190;1
80191;1
80192;1
80193;1
80194;0
80195;1
80196;1
80197;1
80198;1
80199;0
80200;1
80201;1
80202;1
80203;1
80204;0
80205;1
80206;1
80207;0
80208;1
80209;1
80210;1
80211;1
80212;1
80213;0
80214;0
80215;0
80216;1
